"Population"	"Units"	"Date"	"Age"	"Ethnic Grou"	"region"	"Highest Level of Qualification"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	21	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	168	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Yorkshire and The Humber"	"Other qualifications"	"number"	90	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East Midlands"	"No qualifications"	"number"	254	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East Midlands"	"Level 1 qualifications"	"number"	31	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East Midlands"	"Level 2 qualifications"	"number"	17	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East Midlands"	"Apprenticeship"	"number"	9	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East Midlands"	"Level 3 qualifications"	"number"	18	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East Midlands"	"Level 4 qualifications and above"	"number"	125	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East Midlands"	"Other qualifications"	"number"	105	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"West Midlands"	"No qualifications"	"number"	778	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"West Midlands"	"Level 1 qualifications"	"number"	68	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"West Midlands"	"Level 2 qualifications"	"number"	52	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"West Midlands"	"Apprenticeship"	"number"	9	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"West Midlands"	"Level 3 qualifications"	"number"	21	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"West Midlands"	"Level 4 qualifications and above"	"number"	236	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"West Midlands"	"Other qualifications"	"number"	304	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East"	"No qualifications"	"number"	230	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East"	"Level 1 qualifications"	"number"	41	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East"	"Level 2 qualifications"	"number"	39	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East"	"Apprenticeship"	"number"	11	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East"	"Level 3 qualifications"	"number"	25	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East"	"Level 4 qualifications and above"	"number"	278	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"East"	"Other qualifications"	"number"	147	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"London"	"No qualifications"	"number"	3597	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"London"	"Level 1 qualifications"	"number"	400	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"London"	"Level 2 qualifications"	"number"	381	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"London"	"Apprenticeship"	"number"	84	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"London"	"Level 3 qualifications"	"number"	270	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"London"	"Level 4 qualifications and above"	"number"	2360	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"London"	"Other qualifications"	"number"	1934	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South East"	"No qualifications"	"number"	502	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South East"	"Level 1 qualifications"	"number"	89	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South East"	"Level 2 qualifications"	"number"	112	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South East"	"Apprenticeship"	"number"	30	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South East"	"Level 3 qualifications"	"number"	81	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South East"	"Level 4 qualifications and above"	"number"	709	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South East"	"Other qualifications"	"number"	320	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South West"	"No qualifications"	"number"	127	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South West"	"Level 1 qualifications"	"number"	24	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South West"	"Level 2 qualifications"	"number"	34	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South West"	"Apprenticeship"	"number"	7	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South West"	"Level 3 qualifications"	"number"	22	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South West"	"Level 4 qualifications and above"	"number"	200	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"South West"	"Other qualifications"	"number"	72	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Wales"	"No qualifications"	"number"	132	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Wales"	"Level 1 qualifications"	"number"	15	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Wales"	"Level 2 qualifications"	"number"	16	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Wales"	"Apprenticeship"	"number"	3	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Wales"	"Level 3 qualifications"	"number"	3	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Wales"	"Level 4 qualifications and above"	"number"	130	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Wales"	"Other qualifications"	"number"	39	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North East"	"No qualifications"	"number"	139311	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North East"	"Level 1 qualifications"	"number"	5811	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North East"	"Level 2 qualifications"	"number"	10440	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North East"	"Apprenticeship"	"number"	12719	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North East"	"Level 3 qualifications"	"number"	4237	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North East"	"Level 4 qualifications and above"	"number"	25277	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North East"	"Other qualifications"	"number"	10694	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North West"	"No qualifications"	"number"	337741	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North West"	"Level 1 qualifications"	"number"	17724	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North West"	"Level 2 qualifications"	"number"	34516	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North West"	"Apprenticeship"	"number"	27150	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North West"	"Level 3 qualifications"	"number"	14532	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North West"	"Level 4 qualifications and above"	"number"	72660	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"North West"	"Other qualifications"	"number"	27600	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"Yorkshire and The Humber"	"No qualifications"	"number"	261168	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	11506	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	25785	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	20587	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	9911	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	51680	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"Yorkshire and The Humber"	"Other qualifications"	"number"	19534	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East Midlands"	"No qualifications"	"number"	228555	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East Midlands"	"Level 1 qualifications"	"number"	10814	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East Midlands"	"Level 2 qualifications"	"number"	20453	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East Midlands"	"Apprenticeship"	"number"	16579	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East Midlands"	"Level 3 qualifications"	"number"	8584	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East Midlands"	"Level 4 qualifications and above"	"number"	43807	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East Midlands"	"Other qualifications"	"number"	18676	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"West Midlands"	"No qualifications"	"number"	277018	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"West Midlands"	"Level 1 qualifications"	"number"	12392	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"West Midlands"	"Level 2 qualifications"	"number"	24646	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"West Midlands"	"Apprenticeship"	"number"	16587	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"West Midlands"	"Level 3 qualifications"	"number"	10937	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"West Midlands"	"Level 4 qualifications and above"	"number"	53231	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"West Midlands"	"Other qualifications"	"number"	21974	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East"	"No qualifications"	"number"	301601	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East"	"Level 1 qualifications"	"number"	16280	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East"	"Level 2 qualifications"	"number"	33182	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East"	"Apprenticeship"	"number"	21925	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East"	"Level 3 qualifications"	"number"	13399	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East"	"Level 4 qualifications and above"	"number"	70022	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"East"	"Other qualifications"	"number"	27214	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"London"	"No qualifications"	"number"	212337	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"London"	"Level 1 qualifications"	"number"	12950	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"London"	"Level 2 qualifications"	"number"	24684	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"London"	"Apprenticeship"	"number"	10457	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"London"	"Level 3 qualifications"	"number"	11074	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"London"	"Level 4 qualifications and above"	"number"	57636	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"London"	"Other qualifications"	"number"	26445	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South East"	"No qualifications"	"number"	388098	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South East"	"Level 1 qualifications"	"number"	26130	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South East"	"Level 2 qualifications"	"number"	60771	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South East"	"Apprenticeship"	"number"	32164	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South East"	"Level 3 qualifications"	"number"	24452	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South East"	"Level 4 qualifications and above"	"number"	130272	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South East"	"Other qualifications"	"number"	43526	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South West"	"No qualifications"	"number"	276325	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South West"	"Level 1 qualifications"	"number"	18240	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South West"	"Level 2 qualifications"	"number"	43538	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South West"	"Apprenticeship"	"number"	25332	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South West"	"Level 3 qualifications"	"number"	16425	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South West"	"Level 4 qualifications and above"	"number"	89208	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 75 and over"	"White: Total"	"South West"	"Other qualifications"	"number"	29134	""
